OKRES|PS|P_HL_PS|DAT_AKT
710|19|7|
710|20|3|
710|21|94|
710|22|379|
710|23|2888|
710|24|8|
710|25|991|
711|1|30|
711|2|49|
711|3|593|
711|4|22|
711|5|1014|
711|6|39|
711|7|9|
711|9|5|
711|10|2|
711|11|3|
711|12|270|
711|13|263|
711|14|13|
711|15|686|
711|16|2309|
711|17|1465|
711|18|7|
711|19|10|
711|20|5|
711|21|66|
711|22|196|
711|23|1054|
711|24|5|
711|25|423|
712|1|44|
712|2|26|
712|3|818|
712|4|25|
712|5|1575|
712|6|56|
712|7|3|
712|8|4|
712|9|6|
712|10|7|
712|11|12|
712|12|372|
712|13|310|
712|14|8|
712|15|832|
712|16|3762|
712|17|2659|
712|18|6|
712|19|9|
712|20|1|
712|21|71|
712|22|214|
712|23|1134|
712|24|3|
712|25|603|
713|1|68|
713|2|56|
713|3|1665|
713|4|16|
713|5|4261|
713|6|84|
713|7|20|
713|8|7|
713|9|27|
713|10|5|
713|11|8|
713|12|650|
713|13|611|
713|14|14|
713|15|1612|
713|16|7211|
713|17|4698|
713|18|14|
713|19|10|
713|20|7|
713|21|191|
713|22|443|
713|23|2674|
713|24|6|
713|25|1420|
801|1|15|
801|2|3|
801|3|304|
801|4|1|
801|5|319|
801|6|10|
801|7|5|
801|8|2|
801|9|5|
801|10|1|
801|11|2|
801|12|87|
801|13|90|
801|14|2|
801|15|163|
801|16|736|
801|17|608|
801|19|3|
801|20|1|
801|21|29|
801|22|78|
801|23|290|
801|24|4|
801|25|250|
802|1|26|
802|2|5|
802|3|2482|
802|4|5|
802|5|871|
802|6|20|
802|7|5|
802|8|2|
802|9|38|
802|10|6|
802|11|6|
802|12|1009|
802|13|195|
802|14|11|
802|15|416|
802|16|1632|
802|17|1179|
802|18|137|
802|19|4|
802|20|3|
802|21|83|
802|22|411|
802|23|706|
802|24|9|
802|25|416|
803|1|17|
803|2|3|
803|3|1590|
803|4|1|
803|5|650|
803|6|17|
803|9|27|
803|10|4|
803|11|2|
803|12|637|
803|13|203|
803|14|4|
803|15|321|
803|16|1320|
803|17|990|
803|18|89|
803|19|3|
803|20|3|
803|21|55|
803|22|329|
803|23|518|
803|24|10|
803|25|305|
804|1|5|
804|3|592|
804|4|3|
804|5|209|
804|6|8|
804|7|2|
804|9|10|
804|10|3|
804|11|3|
804|12|217|
804|13|99|
804|14|1|
804|15|120|
804|16|543|
804|17|458|
804|18|25|
804|20|2|
804|21|25|
804|22|105|
804|23|175|
804|25|129|
805|1|23|
805|2|8|
805|3|2537|
805|4|8|
805|5|1086|
805|6|39|
805|7|20|
805|8|2|
805|9|35|
805|10|4|
805|11|4|
805|12|1010|
805|13|359|
805|14|7|
805|15|487|
805|16|2184|
805|17|1591|
805|18|137|
805|19|2|
805|20|4|
805|21|81|
805|22|487|
805|23|932|
805|24|9|
805|25|456|
806|1|177|
806|2|43|
806|3|5151|
806|4|44|
806|5|7940|
806|6|112|
806|7|112|
806|8|11|
806|9|122|
806|10|29|
806|11|29|
806|12|2189|
806|13|1338|
806|14|34|
806|15|1682|
806|16|7410|
806|17|5967|
806|18|2742|
806|19|17|
806|20|15|
806|21|337|
806|22|1221|
806|23|2501|
806|24|25|
806|25|2242|
807|1|89|
807|2|38|
807|3|2401|
807|4|16|
807|5|3969|
807|6|103|
807|7|39|
807|8|21|
807|9|196|
807|10|15|
807|11|17|
807|12|1031|
807|13|623|
807|14|21|
807|15|1264|
807|16|7559|
807|17|4503|
807|18|1629|
807|19|20|
807|20|6|
807|21|198|
807|22|598|
807|23|1606|
807|24|12|
807|25|1277|
808|1|128|
808|2|35|
808|3|2155|
808|4|19|
808|5|2589|
808|6|91|
808|7|50|
808|8|7|
808|9|95|
808|10|8|
808|11|12|
808|12|676|
808|13|452|
808|14|8|
808|15|740|
808|16|3093|
808|17|2852|
808|18|3014|
808|19|16|
808|20|2|
808|21|159|
808|22|453|
808|23|278|
808|24|17|
808|25|1118|
809|1|21|
809|2|8|
809|3|363|
809|4|6|
809|5|596|
809|6|17|
809|7|4|
809|8|2|
809|9|13|
809|10|4|
809|11|3|
809|12|154|
809|13|429|
809|14|6|
809|15|420|
809|16|2591|
809|17|1576|
809|18|3|
809|19|5|
809|20|3|
809|21|42|
809|22|105|
809|23|431|
809|24|9|
809|25|342|
810|1|66|
810|2|8|
810|3|1709|
810|4|17|
810|5|1859|
810|6|58|
810|7|9|
810|8|2|
810|9|20|
810|10|7|
810|11|8|
810|12|611|
810|13|344|
810|14|11|
810|15|763|
810|16|2800|
810|17|2150|
810|18|13|
810|19|6|
810|20|4|
810|21|157|
810|22|329|
810|23|1606|
810|24|6|
810|25|918|
811|1|164|
811|2|114|
811|3|2211|
811|4|27|
811|5|3716|
811|6|142|
811|7|46|
811|8|17|
811|9|51|
811|10|18|
811|11|8|
811|12|699|
811|13|808|
811|14|16|
811|15|993|
811|16|6988|
811|17|4650|
811|18|4537|
811|19|12|
811|20|11|
811|21|170|
811|22|568|
811|23|1658|
811|24|8|
811|25|1216|
