,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes
id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
code,,,,,,,,,,,,,,,,,,,,,,,,,
207,45.103818351841014,45.103818351841014,15064.6753295149,45.103818351841014,6637.77860077927,225.5190917592051,451.0381835184102,45.103818351841014,751.730305864017,300.6921223456068,45.103818351841014,5164.387201285796,2991.886617338788,45.103818351841014,3916.5148935515285,14395.635357295923,8757.6580633158,2255.190917592051,45.103818351841014,45.103818351841014,804.3514272744983,2668.64258581726,4923.833503409312,45.103818351841014,5457.562020572763
301,11.86611255224484,11.86611255224484,3963.2815924497763,11.86611255224484,1746.2962306053657,59.3305627612242,118.6611255224484,11.86611255224484,197.768542537414,79.1074170149656,11.86611255224484,1358.6698872320342,787.1187992989078,11.86611255224484,1030.374106619927,3787.2675895914776,2304.0035205608733,593.305627612242,11.86611255224484,11.86611255224484,211.612340515033,702.0783260078197,1295.3839536200617,11.86611255224484,1435.7996188216255
302,19.29952841944344,19.29952841944344,6446.042492094109,19.29952841944344,2840.247265728093,96.49764209721721,192.99528419443442,19.29952841944344,321.65880699072403,128.6635227962896,19.29952841944344,2209.7960040262737,1280.2020518230815,19.29952841944344,1675.842384421672,6159.766153872364,3747.3251014419347,964.976420972172,19.29952841944344,19.29952841944344,344.1749234800747,1141.88876481707,2106.8651857892423,19.29952841944344,2335.2429387526563
303,8.316634250045219,8.316634250045219,2777.755839515103,8.316634250045219,1223.9313404649881,41.5831712502261,83.1663425004522,8.316634250045219,138.61057083408699,55.4442283336348,8.316634250045219,952.2546216301776,551.6700719196663,8.316634250045219,722.1610740455933,2654.3924314727656,1614.8131502171136,415.831712502261,8.316634250045219,8.316634250045219,148.3133107924731,492.0675264610088,907.8992389632698,8.316634250045219,1006.3127442554716
304,20.558739187279137,20.558739187279137,6866.618888551232,20.558739187279137,3025.5611170612465,102.7936959363957,205.5873918727914,20.558739187279137,342.64565312131896,137.0582612485276,20.558739187279137,2353.9756369434613,1363.7296994228495,20.558739187279137,1785.1838527620719,6561.664257273257,3991.8218588633663,1027.936959363957,20.558739187279137,20.558739187279137,366.63084883981134,1216.3920685806822,2244.329027944639,20.558739187279137,2487.6074416607757
305,14.51887994419254,14.51887994419254,4849.305901360309,14.51887994419254,2136.695165120336,72.59439972096271,145.18879944192543,14.51887994419254,241.98133240320902,96.79253296128361,14.51887994419254,1662.411753610046,963.0857029647719,14.51887994419254,1260.722741820719,4633.942515521452,2819.082522497385,725.943997209627,14.51887994419254,14.51887994419254,258.9200256714337,859.0337300313919,1584.977727241019,14.51887994419254,1756.7844732472975
306,20.746483360694157,20.746483360694157,6929.325442471849,20.746483360694157,3053.190801248824,103.7324168034708,207.4648336069416,20.746483360694157,345.774722678236,138.3098890712944,20.746483360694157,2375.472344799481,1376.1833962593794,20.746483360694157,1801.4863051536095,6621.5859392882185,4028.2755192014497,1037.324168034708,20.746483360694157,20.746483360694157,369.97895326571256,1227.5002655077376,2264.824433542446,20.746483360694157,2510.324486643993
307,43.46112204596958,43.46112204596958,14516.01476335384,43.46112204596958,6396.028461098524,217.3056102298479,434.6112204596958,43.46112204596958,724.352034099493,289.74081363979724,43.46112204596958,4976.298474263517,2882.9210957159826,43.46112204596958,3773.8740976583586,13871.34145300529,8438.701197259094,2173.056102298479,43.46112204596958,43.46112204596958,775.0566764864576,2571.4497210532,4744.505823351679,43.46112204596958,5258.795767562319
308,14.674887423312898,14.674887423312898,4901.412399386509,14.674887423312898,2159.6542657975483,73.3744371165645,146.748874233129,14.674887423312898,244.581457055215,97.832582822086,14.674887423312898,1680.274609969327,973.4341990797558,14.674887423312898,1274.2693912576701,4683.734902607366,2849.3739746932547,733.7443711656449,14.674887423312898,14.674887423312898,261.7021590490801,868.2641725460131,1602.0085437116584,14.674887423312898,1775.6613782208608
309,39.215838454875055,39.215838454875055,13098.09004392827,39.215838454875055,5771.2642259424465,196.07919227437532,392.15838454875063,39.215838454875055,653.597307581251,261.4389230325004,39.215838454875055,4490.213503083194,2601.317284173379,39.215838454875055,3405.241972498318,12516.388440180956,7614.408633321575,1960.791922743753,39.215838454875055,39.215838454875055,699.3491191119386,2320.2704419134407,4281.062364657194,39.215838454875055,4745.116453039882
401,25.632016164344634,25.632016164344634,8561.09339889111,25.632016164344634,3772.1783788527196,128.1600808217232,256.3201616434464,25.632016164344634,427.200269405744,170.8801077622976,25.632016164344634,2934.865850817461,1700.257072234861,25.632016164344634,2225.713403603926,8180.8851591199955,4976.883138576917,1281.6008082172318,25.632016164344634,25.632016164344634,457.1042882641461,1516.5609563903909,2798.161764607623,25.632016164344634,3101.473955885701
402,32.82181347159252,32.82181347159252,10962.4856995119,32.82181347159252,4830.2768825693665,164.1090673579626,328.2181347159252,32.82181347159252,547.030224526542,218.8120898106168,32.82181347159252,3758.0976424973433,2177.1802936156373,32.82181347159252,2850.027469783284,10475.628799683278,6372.902115734215,1641.090673579626,32.82181347159252,32.82181347159252,585.3223402434,1941.9572970692238,3583.0479706488504,32.82181347159252,3971.439430062695
